Periodo Hasta AA-Actual;C.Ofi;Oficina Venta;C.Prev;Preventa;Cod.Cliente;Nombre Comercial;Cod.Interno;Cod.Cad;Cadena;Agrupacion;Tipo Establecimiento;Fecha Alta;Ult.Comp.Helados;Cuo.Anual Helados;VtaBru.Cum Actual;VtaBru.Cum Anterior;Desviacion _;Desviacion %;VtaBru.Tot Anterior;
05-2025 -> 05-2026;2866;LORCA;13;JOAQUIN GARCIA;401004541;SALON FESTIN;1701;;;Restaurantes;SALONES DE BANQUETES;15/06/2012;13/02/2026;1113,84;103,00;456,23;-353,23;77,42;1088,80;
05-2025 -> 05-2026;2866;LORCA;13;JOAQUIN GARCIA;401013577;MESON RECREO LOS BOLOS;27611;000004198;BEER & FOOD GRUPO RESTAUR;Restaurantes;RESTAURANTES (NO INCLUYE CHINO;03/09/2012;07/05/2026;32519,11;9869,01;10841,64;-972,63;8,97;31787,99;
05-2025 -> 05-2026;2866;LORCA;02;BARTOLO .;401025018;ALIMENTACION EUROPA;7977;;;Conveniencia;TIENDA DE ALIMENTACION ETNICA ;11/02/2013;26/03/2026;2695,22;743,28;1091,34;-348,06;31,89;2634,62;
05-2025 -> 05-2026;2866;LORCA;13;JOAQUIN GARCIA;401135023;CATERING CANARA;7224;;;Restaurantes;RESTAURANTES (NO INCLUYE CHINO;08/07/2015;13/02/2026;2182,24;360,50;1076,04;-715,54;66,50;2133,18;
05-2025 -> 05-2026;2866;LORCA;02;BARTOLO .;401171004;CHIRINGUITO EL MARINERO;7781;;;Ocio;CHIRINGUITOS DE PLAYA/MERENDER;01/06/2016;08/05/2026;17971,24;5445,56;6831,13;-1385,57;20,28;17567,19;
05-2025 -> 05-2026;2866;LORCA;81;ANDRES MARIA CRUZ;401180199;EL CUARTEL BAR;30557;;;Bares y Cafeter¡as;BAR Y CAFETERIA;01/12/1997;20/08/2025;1135,94;0,00;342,30;-342,30;100,00;1110,40;
05-2025 -> 05-2026;2866;LORCA;81;ANDRES MARIA CRUZ;401180229;PASTELERIA;30582;;;Conveniencia;PASTELERIAS/PANADERIAS/FRUTERI;13/06/1998;07/05/2026;2044,05;480,12;1154,19;-674,07;58,40;1998,09;
05-2025 -> 05-2026;2866;LORCA;81;ANDRES MARIA CRUZ;401180246;CAFETERIA HELAD. RAFA;35076;;;Bares y Cafeter¡as;BAR Y CAFETERIA;16/12/2002;05/05/2026;16585,57;4296,54;5182,46;-885,92;17,09;16212,68;
05-2025 -> 05-2026;2866;LORCA;73;JOSE MIGUEL ANDUJAR;401180252;REST. LOS ARCOS;32458;;;Restaurantes;RESTAURANTES (NO INCLUYE CHINO;01/12/1997;13/05/2026;7473,16;2121,74;2776,14;-654,40;23,57;7305,14;
05-2025 -> 05-2026;2866;LORCA;93;MARI CARMEN PREVENTA;401180315;BAR EL PILAR (HELADO);31797;;;Bares y Cafeter¡as;BAR Y CAFETERIA;23/04/2002;07/05/2026;1304,40;172,60;560,28;-387,68;69,19;1275,07;
